analysis_mode,language,feature,n_emergency,n_normal,mean_emergency,mean_normal,cohens_d,ci_low,ci_high
main,French,high_band_ratio,432,143,0.06899750723183816,0.03389477605894308,0.5299379727156656,0.41025951504707336,0.644647479057312
main,French,pitch_mean,432,143,234.23618540618034,156.36495399565646,0.9879589307529377,0.8272541761398315,1.1070033311843872
main,French,pitch_std,432,143,95.84411905660751,99.06411748343795,-0.0979641844213847,-0.3042140007019043,0.1240590363740921
main,French,energy_env_slope,432,143,-0.1209224406346138,-0.3157878148773104,0.2600705858047358,0.1275530904531479,0.45021745562553406
main,French,energy_env_std,432,143,0.631348359853426,0.39033754176453694,0.24064218820267347,0.1405182182788849,0.3524419963359833
main,French,spectral_rolloff,432,143,1689.686839197725,1206.5161104143895,0.6391560050414709,0.4802021384239197,0.8107805848121643
main,French,zcr,432,143,0.1488963918920092,0.11013353728811481,0.5905783871329973,0.41344523429870605,0.7771812677383423
main,French,harmonic_ratio,432,143,0.38511406007449595,0.43646240663252417,-0.23385161673434812,-0.4259524345397949,-0.07347051799297333
main,French,pause_ratio,432,143,0.3186618029213863,0.29200791801745174,0.37323587612400216,0.16706536710262299,0.5719545483589172
main,French,tempo_proxy,432,143,4.9806260659422765,4.984714532049948,-0.0033790886026759375,-0.1640937328338623,0.19203193485736847
main,French,pitch_energy_corr,432,143,0.18140531885679984,0.011668080703398526,0.847074355458679,0.6704205870628357,1.069103479385376
sensitivity,French,alpha_ratio,648,143,0.30451639975557454,0.09451736655165105,0.5516392826878138,0.4825114905834198,0.6323360204696655
sensitivity,French,spectral_centroid,648,143,1104.4815662636315,817.918570290952,0.5312399051013847,0.37415552139282227,0.6968651413917542
sensitivity,French,spectral_bandwidth,648,143,756.9621022253118,592.7262227336357,0.7185226480119306,0.5420639514923096,0.9235900044441223
sensitivity,French,low_band_ratio,648,143,0.5344259774599259,0.7320184583071714,-0.7920780797839034,-0.9385298490524292,-0.6354736685752869
sensitivity,French,mid_band_ratio,648,143,0.40448382090502677,0.2340867633174941,0.7542786332437831,0.593784749507904,0.9035887122154236
sensitivity,French,high_band_ratio,648,143,0.06109019776549844,0.03389477605894308,0.44668868703342024,0.33949902653694153,0.5576728582382202
sensitivity,French,pitch_mean,648,143,230.8337038072297,156.36495399565646,0.9530016540408992,0.8377411365509033,1.0865459442138672
sensitivity,French,pitch_std,648,143,98.64856354174783,99.06411748343795,-0.013038685482365094,-0.21024227142333984,0.1615288406610489
sensitivity,French,energy_env_slope,648,143,-0.13915111555719095,-0.3157878148773104,0.21564543774318876,0.08825642615556717,0.36878833174705505
sensitivity,French,energy_env_std,648,143,0.6356958661007086,0.39033754176453694,0.24414722279041567,0.16577091813087463,0.33718544244766235
sensitivity,French,spectral_rolloff,648,143,1650.2451963897752,1206.5161104143895,0.5972557518867102,0.4224928021430969,0.7778818011283875
sensitivity,French,zcr,648,143,0.1463892781098015,0.11013353728811481,0.5575722466311623,0.37983381748199463,0.7443451881408691
sensitivity,French,harmonic_ratio,648,143,0.34829762659530134,0.43646240663252417,-0.4057065989085585,-0.5654558539390564,-0.23208515346050262
sensitivity,French,pause_ratio,648,143,0.31640498429947395,0.29200791801745174,0.3407320149743017,0.14860284328460693,0.5261650085449219
sensitivity,French,tempo_proxy,648,143,4.981809095492616,4.984714532049948,-0.002364788880048002,-0.17375482618808746,0.2048058807849884
sensitivity,French,pitch_energy_corr,648,143,0.20069777930065263,0.011668080703398526,0.9290903533652014,0.7463423013687134,1.0873583555221558
main,Italian,alpha_ratio,1000,986,0.29269291516519413,0.16297237598747993,0.4344297645265265,0.3645966649055481,0.5108341574668884
main,Italian,spectral_centroid,1000,986,1075.370913371379,957.0587120843553,0.31992487349860077,0.23642760515213013,0.4011145830154419
